189
-64 10 -1 -2 -4 -3 4 2 1 -4 3 4
-128 10 -1 -2 -3 -4 -4 1 4 4 3 2
-32 10 -1 -2 -3 -4 2 -4 3 4 1 4
-32 10 -1 -2 -3 -4 1 4 3 -4 2 4
-64 10 -1 -2 -4 -3 4 2 1 4 3 -4
32 10 -1 -2 -3 -4 2 4 3 4 1 -4
-64 10 -1 -2 -4 -3 1 -4 3 2 4 4
-32 10 -1 -2 -3 -4 1 4 2 4 3 -4
-32 10 -1 -2 -4 -3 2 4 1 -4 3 4
-64 10 -1 -2 -3 -4 1 2 4 4 3 -4
-32 10 -1 -2 -4 -3 -4 2 3 4 1 4
-64 10 -1 -2 -3 -4 -4 1 4 3 2 4
-64 10 -1 -2 -3 -4 -4 2 4 1 3 4
-64 10 -1 -2 -3 -4 -4 2 3 4 1 4
-64 10 -1 -2 -3 -4 -4 2 4 4 1 3
-32 10 -1 -2 -4 -3 -4 2 4 3 1 4
-32 10 -1 -2 -4 -3 -4 3 2 4 1 4
32 10 -1 -2 -4 -3 2 4 3 4 1 -4
-32 10 -1 -2 -4 -3 4 2 -4 3 1 4
-32 10 -1 -2 -3 -4 3 4 2 -4 1 4
32 10 -1 -2 -4 -3 4 2 3 -4 1 4
-64 10 -1 -2 -3 -4 -4 1 4 4 2 3
-64 10 -1 -2 -3 -4 1 4 4 3 2 -4
-64 10 -1 -2 -3 -4 -4 1 2 4 3 4
-64 10 -1 -2 -3 -4 -4 2 1 4 3 4
64 10 -1 -2 -3 -4 -4 3 4 4 1 2
-64 10 -1 -2 -4 -3 1 -4 2 3 4 4
-32 10 -1 -2 -4 -3 -4 1 3 4 2 4
-32 10 -1 -2 -4 -3 4 1 3 4 2 -4
-32 10 -1 -2 -3 -4 1 4 3 4 2 -4
64 10 -1 -2 -3 -4 3 4 4 1 -4 2
64 10 -1 -2 -4 -3 4 4 3 -4 1 2
32 10 -1 -2 -4 2 -3 4 3 -4 1 4
-64 10 -1 -2 -3 -4 -4 1 4 2 4 3
-64 10 -1 -2 -3 -4 -4 3 2 4 1 4
-64 10 -1 -2 -4 -3 -4 1 3 4 4 2
-32 10 -1 -2 -4 -3 2 -4 3 4 1 4
64 10 -1 -2 -4 -3 4 3 -4 1 2 4
32 10 -1 -2 -3 -4 3 4 2 4 1 -4
-64 10 -1 -2 -3 -4 -4 3 4 2 1 4
-64 10 -1 -2 -4 -3 1 -4 3 4 4 2
64 10 -1 -2 -4 -3 4 3 -4 1 4 2
-64 10 -1 -2 -3 -4 -4 1 2 3 4 4
-128 10 -1 -2 -3 -4 -4 1 3 2 4 4
-64 10 -1 -2 -3 -4 -4 1 3 4 2 4
-64 10 -1 -2 -4 -3 4 1 -4 3 4 2
32 10 -1 -2 -4 -3 4 2 3 4 1 -4
-64 10 -1 -2 -3 -4 -4 2 4 1 4 3
32 10 -1 -2 -4 -3 1 4 3 -4 2 4
32 10 -1 -2 -4 -3 4 1 3 -4 2 4
64 10 -1 -2 -4 -3 4 3 -4 2 1 4
32 10 -1 -2 -4 -3 4 3 2 -4 1 4
-64 10 -1 -2 -3 -4 -4 1 3 4 4 2
64 10 -1 -2 -3 -4 3 2 4 4 1 -4
32 10 -1 -2 -3 -4 2 4 3 -4 1 4
64 10 -1 -2 -4 -3 2 3 4 4 1 -4
-32 10 -1 -2 -4 -3 4 3 2 4 1 -4
-32 10 -1 -2 -3 -4 1 -4 2 4 3 4
-32 10 -1 -2 -4 -3 -4 1 4 2 3 4
-128 10 -1 -2 -4 -4 -3 1 3 4 4 2
-64 10 -1 -2 -3 -4 -4 3 1 4 2 4
