j,l,trajectory,M,S,D
121,1,"1 2 3 3 4 -1 -3 4 4 -2 4 -3",48,1,-128
122,1,"1 2 3 4 -3 4 -2 -1 3 4 4 -3",48,1,128
123,1,"1 2 4 4 4 2 -1 -2 -4 -2 4 4",24,1,-256
124,1,"1 2 -1 -2 4 3 -2 4 -3 4 2 4",48,1,-64
125,1,"1 2 4 -1 4 2 3 4 -2 -2 -3 4",48,1,0
126,1,"1 2 -1 4 2 -4 -2 4 -2 4 4 4",24,1,0
127,1,"1 2 -1 4 3 4 -2 4 3 4 -3 -3",48,1,0
128,1,"1 2 3 4 4 -1 4 -3 -3 -2 3 4",48,1,128
129,1,"1 2 -1 4 -2 3 -2 4 2 4 -3 4",48,1,0
130,1,"1 2 2 4 -2 -1 -2 4 -2 4 2 4",24,1,128
131,1,"1 2 1 4 2 -1 4 4 4 -1 -2 -2",24,1,-256
132,1,"1 2 1 4 2 4 -2 -1 4 -1 -2 4",24,1,128
133,1,"1 4 2 4 3 4 -1 -4 -3 4 -2 4",48,1,0
134,1,"1 1 1 1 4 4 -1 -1 -1 4 -1 4",6,1,1024
135,1,"1 2 3 4 -3 -2 4 3 -1 4 -3 4",48,1,64
136,1,"1 2 2 4 2 -1 -2 4 -2 4 -2 4",24,1,-128
137,1,"1 2 4 3 4 -2 -3 4 4 4 -1 -4",48,1,-128
138,1,"1 2 1 2 4 4 -2 -1 4 -2 -1 4",24,1,128
139,1,"1 2 -1 4 3 4 -3 -2 4 2 4 -2",48,1,-64
140,1,"1 2 1 4 2 -1 4 -2 4 -1 -2 4",24,1,0
141,1,"1 2 3 4 3 4 -3 -3 4 -1 -2 4",48,1,0
142,1,"1 2 -1 4 3 -2 4 2 4 -3 -2 4",48,1,0
143,1,"1 4 2 -1 -4 -2 -2 4 2 4 4 4",24,1,-256
144,1,"1 2 4 3 4 -2 4 -1 4 4 -3 -4",48,1,0
145,1,"1 2 1 2 4 -1 4 -2 4 -2 -1 4",24,1,128
146,1,"1 2 3 -2 4 2 -3 4 4 -1 -2 4",48,1,0
147,1,"1 2 2 4 -2 -2 4 4 -1 -2 4 2",24,1,256
148,1,"1 2 4 -2 4 4 3 3 -1 4 -3 -3",48,1,0
149,1,"1 2 2 -1 4 4 -2 3 4 -2 -3 4",48,1,0
150,1,"1 2 4 3 4 -3 -2 4 -3 4 -1 3",48,1,-64
151,1,"1 2 -1 4 -1 4 2 1 -2 4 -2 4",12,1,128
