j,l,trajectory,M,S,D
408,1,"1 4 1 4 4 4 -1 4 -1 -4",6,1,-128
409,1,"1 2 4 -2 -4 -1 4 4 4 4",24,1,128
410,1,"1 1 1 4 -1 -1 -1 4 4 4",6,1,512
411,1,"1 2 -1 2 4 4 -2 -2 4 4",24,1,128
412,1,"1 2 3 4 -3 4 -1 4 -2 4",48,1,32
413,1,"1 2 -4 -2 4 4 4 4 -1 4",24,1,-128
414,1,"1 2 4 4 2 -1 -2 4 4 -2",12,1,-128
415,1,"1 2 3 4 -2 -3 4 4 -1 4",48,1,0
416,1,"1 2 4 -2 3 4 -3 -1 4 4",48,1,0
417,1,"1 2 4 2 4 -1 -2 4 -2 4",12,1,0
418,1,"1 2 4 4 -1 2 4 4 -2 -2",24,1,128
419,1,"1 2 4 -1 3 4 -3 4 -2 4",48,1,32
420,1,"1 2 4 4 -2 4 4 4 -1 -4",24,1,-128
421,1,"1 2 3 4 -1 -2 4 4 -3 4",48,1,0
422,1,"1 2 4 3 -2 4 -1 4 -3 4",48,1,32
423,1,"1 2 -1 4 4 -2 4 2 4 -2",24,1,-64
424,1,"1 2 4 4 2 4 -2 -2 -1 4",24,1,128
425,1,"1 2 4 2 4 -1 4 -2 -2 4",24,1,64
426,1,"1 4 2 4 2 -1 4 -2 4 -2",12,1,0
427,1,"1 2 3 4 -2 -3 4 -1 4 4",48,1,0
428,1,"1 2 3 -1 -3 -2 4 4 4 4",48,1,-128
429,1,"1 2 4 -1 2 4 4 4 -2 -2",24,1,128
430,1,"1 2 4 -2 4 2 4 -1 4 -2",24,1,0
431,1,"1 2 -1 -4 -2 4 4 4 4 4",24,1,-256
432,1,"1 1 1 4 -1 -1 4 4 -1 4",6,1,256
433,1,"1 2 4 2 4 4 -2 -2 -1 4",24,1,128
434,1,"1 2 2 4 4 -1 4 4 -2 -2",24,1,0
435,1,"1 2 3 -2 -3 -1 4 4 4 4",48,1,0
436,1,"1 2 -1 4 3 4 -3 -2 4 4",48,1,0
437,1,"1 2 3 4 4 -1 4 -3 4 -2",48,1,0
438,1,"1 2 -1 4 4 3 4 -2 -3 4",48,1,0
439,1,"1 2 -1 4 -2 4 -2 4 2 4",24,1,0
440,1,"1 2 2 4 4 -2 4 -1 4 -2",24,1,0
441,1,"1 2 4 -2 4 4 -2 -1 4 2",24,1,64
442,1,"1 2 3 -2 4 4 -3 4 -1 4",48,1,0
443,1,"1 1 1 4 -1 -1 4 -1 4 4",6,1,256
444,1,"1 2 -1 4 -2 4 4 2 4 -2",24,1,-64
445,1,"1 2 3 4 -3 4 4 -1 -2 4",48,1,0
446,1,"1 2 3 4 4 -1 -3 -2 4 4",24,1,0
447,1,"1 4 2 4 2 -1 4 4 -2 -2",24,1,0
448,1,"1 2 3 -1 4 4 -2 -3 4 4",48,1,0
449,1,"1 1 4 4 4 -1 -4 -1 4 4",6,1,256
450,1,"1 2 4 4 4 -1 -4 -2 4 4",24,1,-128
451,1,"1 2 2 4 -2 -2 -1 4 4 4",24,1,256
452,1,"1 2 4 3 4 -3 -2 4 -1 4",24,1,32
453,1,"1 2 -1 4 4 4 4 4 -2 -4",24,1,-256
454,1,"1 4 2 4 4 4 -2 4 -1 -4",24,1,-128
455,1,"1 2 2 4 4 -2 4 -1 -2 4",24,1,0
456,1,"1 2 4 -1 4 4 2 4 -2 -2",24,1,0
457,1,"1 2 3 -2 4 4 -3 -1 4 4",48,1,64
458,1,"1 2 4 3 -2 4 4 -1 -3 4",48,1,0
459,1,"1 2 -1 4 -2 -2 4 2 4 4",24,1,0
460,1,"1 2 -1 4 -2 4 2 4 4 -2",24,1,-64
461,1,"1 4 -1 4 4 4 1 4 -1 -4",6,1,-128
462,1,"1 2 4 4 2 -1 4 -2 -2 4",24,1,0
463,1,"1 4 4 4 4 4 4 -1 -4 -4",6,1,-512
464,1,"1 2 4 4 4 -1 4 4 -2 -4",24,1,-128
465,1,"1 2 4 -1 4 2 4 4 -2 -2",24,1,0
466,1,"1 2 4 -1 4 -2 -2 4 4 2",24,1,128
467,1,"1 2 4 2 4 -2 -2 -1 4 4",24,1,128
468,1,"1 2 4 -2 4 4 2 -1 4 -2",24,1,-64
469,1,"1 2 4 -2 -1 4 -2 4 2 4",24,1,64
470,1,"1 2 3 -1 -2 4 4 4 -3 4",48,1,-64
471,1,"1 2 3 4 -2 -1 4 -3 4 4",48,1,64
472,1,"1 2 4 -2 -2 -1 4 2 4 4",24,1,128
473,1,"1 2 4 3 4 -2 4 -3 -1 4",48,1,32
474,1,"1 2 2 4 4 -2 -2 -1 4 4",24,1,256
475,1,"1 2 4 -1 2 4 4 -2 4 -2",24,1,64
476,1,"1 2 3 -1 4 -3 -2 4 4 4",48,1,0
477,1,"1 4 1 4 -1 4 4 4 -1 -4",6,1,-128
478,1,"1 2 3 4 -2 4 -1 4 -3 4",48,1,32
479,1,"1 2 -1 4 4 3 4 -3 -2 4",48,1,0
480,1,"1 2 3 4 -1 4 -3 4 4 -2",48,1,0
481,1,"1 2 4 2 -1 4 4 4 -2 -2",24,1,-128
482,1,"1 2 3 -1 4 4 -3 4 -2 4",48,1,0
483,1,"1 2 4 4 4 4 4 -1 -2 -4",24,1,-256
484,1,"1 1 4 4 4 -1 4 4 -1 -4",6,1,-256
485,1,"1 4 2 -4 -2 4 4 4 -1 4",24,1,-128
486,1,"1 2 -1 4 -2 4 3 4 -3 4",48,1,0
487,1,"1 2 4 -2 -2 4 -1 4 4 2",24,1,128
488,1,"1 2 3 -1 4 -2 4 -3 4 4",48,1,0
489,1,"1 2 4 4 4 4 -1 4 -2 -4",24,1,-128
490,1,"1 4 2 -1 4 -2 -2 4 4 2",24,1,128
491,1,"1 4 2 2 4 -2 -2 -1 4 4",24,1,128
492,1,"1 2 -1 4 4 -2 -2 4 2 4",24,1,0
493,1,"1 2 3 4 4 -2 -1 -3 4 4",24,1,0
494,1,"1 4 2 -4 -2 4 4 -1 4 4",24,1,-128
495,1,"1 2 -1 4 2 4 -2 4 -2 4",24,1,0
496,1,"1 2 3 4 4 -3 -2 4 -1 4",48,1,64
497,1,"1 1 4 4 4 4 4 -1 -1 -4",6,1,-512
498,1,"1 4 2 4 -2 -4 -1 4 4 4",24,1,0
499,1,"1 2 3 4 -2 4 4 -1 -3 4",48,1,0
500,1,"1 2 3 4 -3 -1 4 4 -2 4",48,1,64
501,2,"1 4 -1 4 4 4 4 4 4 4",6,1,512
502,2,"1 4 4 -1 4 4 4 4 4 4",6,1,512
503,2,"1 4 4 4 -1 4 4 4 4 4",6,1,512
504,2,"1 4 4 4 4 -1 4 4 4 4",3,1,512
