j,trajectory,M,S,D
1299,"1 2 3 1 3 -1 -2 -1 -2 -3 -3 2",192,1,-128
1300,"1 2 3 -1 -3 2 3 1 -3 -1 -2 -2",192,1,-128
1301,"1 2 3 1 2 3 -1 -2 -3 -2 -1 -3",192,1,0
1302,"1 2 3 1 -2 -1 -2 3 2 -3 -1 -3",96,1,0
1303,"1 2 3 1 -3 2 -3 -1 -1 3 -2 -2",192,1,0
1304,"1 2 3 -1 -1 -3 2 -3 1 -2 3 -2",192,1,-128
1305,"1 2 3 1 -3 2 -3 -1 3 -1 -2 -2",192,1,128
1306,"1 2 3 -1 -1 2 1 -3 -2 3 -2 -3",192,1,128
1307,"1 2 3 1 2 3 -1 -2 -3 -1 -2 -3",48,1,-128
1308,"1 2 3 2 3 -1 -1 -3 -3 1 -2 -2",192,1,-256
1309,"1 2 3 1 2 -1 -3 -2 -3 -2 -1 3",96,1,-128
1310,"1 2 3 1 2 3 -1 -1 -3 -2 -2 -3",192,1,0
1311,"1 2 3 -1 -3 -1 -3 2 3 -2 1 -2",96,1,128
1312,"1 2 3 -1 -1 -3 1 -2 3 -2 -3 2",192,1,128
1313,"1 2 3 1 -2 -1 -1 -2 3 2 -3 -3",192,1,0
1314,"1 2 3 -1 3 -1 2 1 -3 -2 -3 -2",96,1,0
1315,"1 2 3 -1 -3 1 -2 -1 -3 2 3 -2",96,1,0
1316,"1 2 3 1 2 3 -1 -2 -2 -3 -1 -3",192,1,-128
1317,"1 2 3 1 3 -1 2 -3 -2 -3 -1 -2",96,1,-128
1318,"1 2 3 -1 -2 -1 3 2 1 -3 -2 -3",48,1,128
1319,"1 2 3 1 2 -1 -3 -3 -2 -2 -1 3",96,1,-256
1320,"1 2 3 1 -3 -1 3 2 -1 -2 -3 -2",96,1,128
1321,"1 2 3 -1 -1 -3 -3 2 3 -2 1 -2",192,1,256
1322,"1 2 3 -1 -2 -1 -3 1 3 -2 -3 2",96,1,128
1323,"1 2 3 1 -2 -3 2 -1 -3 -1 3 -2",192,1,0
1324,"1 2 3 -1 -1 -2 1 3 2 -3 -2 -3",192,1,128
1325,"1 2 3 1 -2 -3 -1 3 -1 -2 -3 2",192,1,0
1326,"1 2 2 3 3 -1 -1 -3 -3 -2 -2 1",48,1,-1024
1327,"1 2 3 1 -2 3 -1 2 -3 -3 -1 -2",192,1,-128
1328,"1 2 3 1 -3 -1 -2 3 2 -3 -1 -2",96,1,0
1329,"1 2 3 2 -1 -1 -3 -3 1 3 -2 -2",192,1,256
1330,"1 2 3 -1 3 -1 2 1 -3 -3 -2 -2",192,1,0
1331,"1 2 3 1 -2 -1 -1 3 2 -3 -3 -2",192,1,-256
1332,"1 2 3 1 3 -1 2 -3 -3 -2 -1 -2",192,1,-128
1333,"1 2 3 -1 -1 -2 -3 -3 2 3 1 -2",192,1,0
1334,"1 2 3 1 2 3 -1 -3 -2 -2 -1 -3",96,1,128
1335,"1 2 3 -1 -1 -2 3 2 1 -3 -2 -3",192,1,128
1336,"1 2 3 1 -2 -3 -3 -1 3 2 -1 -2",192,1,128
1337,"1 2 3 2 -1 -2 1 3 -1 -3 -3 -2",192,1,128
1338,"1 2 3 1 -2 -3 2 -3 -1 -1 3 -2",192,1,128
1339,"1 2 3 -1 -1 -2 3 2 -3 -3 1 -2",192,1,256
1340,"1 2 3 -1 3 1 -3 -2 -1 -2 -3 2",192,1,0
1341,"1 2 3 -1 -3 -3 -1 3 2 1 -2 -2",48,1,256
1342,"1 2 3 1 -2 -2 -3 -1 3 -1 -3 2",192,1,-128
1343,"1 2 3 -2 -2 -3 2 3 -1 -1 -3 1",192,1,256
1344,"1 2 -1 -1 3 1 -3 -3 2 3 -2 -2",32,1,-256
1345,"1 2 3 1 -2 -3 -1 3 2 -1 -3 -2",96,1,0
1346,"1 2 3 -1 -2 1 -2 3 -1 -3 -3 2",192,1,128
1347,"1 2 3 1 -2 3 -2 -1 -3 -1 -3 2",96,1,-128
1348,"1 2 3 -1 -1 -2 3 2 1 -3 -3 -2",96,1,256
1349,"1 2 3 -1 -2 1 3 -1 2 -3 -2 -3",192,1,128
1350,"1 2 3 2 -3 1 3 -1 -1 -3 -2 -2",192,1,0
1351,"1 2 3 1 -2 -1 3 2 -3 -2 -1 -3",192,1,0
1352,"1 2 3 1 -2 -1 -3 -1 -3 2 3 -2",192,1,0
1353,"1 2 3 1 -2 -1 3 -1 -3 2 -3 -2",192,1,0
1354,"1 2 3 1 -2 3 -2 -1 -3 -3 -1 2",192,1,-128
1355,"1 2 3 1 3 -1 -3 2 -3 -1 -2 -2",192,1,-128
1356,"1 2 3 -1 3 2 -3 -3 1 -2 -1 -2",192,1,128
1357,"1 2 3 -1 -1 -2 3 2 1 -2 -3 -3",96,1,0
1358,"1 2 3 -1 3 1 -3 -3 2 -1 -2 -2",192,1,0
1359,"1 2 3 1 -2 -1 3 2 -1 -3 -2 -3",96,1,-128
1360,"1 2 3 1 2 -1 -1 3 -2 -3 -2 -3",192,1,-128
1361,"1 2 3 1 2 -3 -2 -1 -2 3 -1 -3",192,1,0
1362,"1 2 3 1 3 -1 -1 -3 -2 -2 -3 2",192,1,0
1363,"1 2 3 1 -2 3 -2 -1 -1 -3 -3 2",96,1,-256
1364,"1 2 3 -1 -1 -3 -2 3 1 2 -3 -2",192,1,128
1365,"1 2 3 1 3 -1 -1 2 -3 -2 -3 -2",192,1,-128
1366,"1 2 2 3 3 -1 -1 -2 -2 -3 -3 1",16,1,-1024
1367,"1 2 3 1 -2 -2 -1 3 -1 -3 -3 2",192,1,-256
1368,"1 2 3 3 2 -3 -3 -2 -1 -1 -2 1",96,1,0
1369,"1 2 3 1 -2 -1 -1 -3 -3 2 3 -2",192,1,0
1370,"1 2 3 1 -2 -1 -3 -2 3 -1 -3 2",192,1,0
1371,"1 2 3 -1 -2 1 -3 -1 3 -2 -3 2",192,1,0
1372,"1 2 3 1 3 -1 -2 -1 -3 2 -3 -2",192,1,-128
1373,"1 2 3 -1 -1 2 -3 -3 1 3 -2 -2",192,1,256
1374,"1 2 3 -1 -3 -1 3 -2 1 2 -3 -2",96,1,128
1375,"1 2 3 1 -3 -1 2 3 -2 -3 -1 -2",96,1,-128
1376,"1 2 3 -1 -1 3 2 -3 -3 -2 1 -2",192,1,0
1377,"1 2 3 1 -2 -3 -1 -3 -1 2 3 -2",192,1,0
1378,"1 2 3 1 -2 -1 3 2 -1 -2 -3 -3",192,1,-128
1379,"1 2 3 1 2 -3 -2 -2 -1 3 -1 -3",192,1,128
1380,"1 2 3 1 -2 -3 -1 -3 -2 -1 3 2",96,1,0
1381,"1 2 3 2 -1 -2 -1 3 1 -3 -3 -2",192,1,128
1382,"1 2 3 1 -3 -3 -1 2 -1 3 -2 -2",192,1,0
1383,"1 2 3 -1 -1 2 3 -2 -3 -3 1 -2",192,1,0
1384,"1 2 3 1 -3 2 3 -1 -1 -2 -3 -2",192,1,-128
1385,"1 2 3 -2 -1 -1 -3 1 3 2 -3 -2",192,1,128
1386,"1 2 3 -1 -3 1 3 2 -3 -2 -1 -2",192,1,0
1387,"1 2 3 -1 3 1 -2 -1 -2 -3 -3 2",192,1,-128
1388,"1 2 3 1 -2 -2 3 -1 -1 -3 2 -3",192,1,-256
1389,"1 2 3 1 2 -1 -1 -3 -3 -2 -2 3",192,1,-256
1390,"1 2 3 1 -2 -3 -3 -1 -1 2 3 -2",192,1,0
1391,"1 2 3 -1 -1 3 1 2 -3 -2 -2 -3",96,1,256
1392,"1 2 3 1 -2 -1 3 -1 -3 -2 -3 2",192,1,-128
1393,"1 2 3 -1 -1 2 -3 -3 -2 -2 3 1",96,1,-512
1394,"1 2 3 2 -3 -3 -2 -2 -1 -1 3 1",192,1,-512
1395,"1 2 3 1 -2 -3 -3 -1 -2 -1 3 2",192,1,-128
1396,"1 2 3 1 3 -1 -3 -3 2 -1 -2 -2",192,1,0
1397,"1 2 3 2 -3 -3 -2 3 -1 -1 -2 1",192,1,256
1398,"1 2 3 -1 -2 -1 -2 3 2 -3 1 -3",96,1,128
1399,"1 2 3 -1 -1 -3 1 -2 3 2 -3 -2",192,1,128
1400,"1 2 3 1 -2 -3 -1 3 -2 -3 -1 2",192,1,0
1401,"1 2 3 1 3 -1 -1 -2 -3 2 -3 -2",192,1,-128
1402,"1 2 3 -1 -2 1 -3 -1 -3 -2 3 2",192,1,128
1403,"1 2 3 2 -1 -1 3 -2 -3 -2 -3 1",192,1,-256
1404,"1 2 3 1 -2 -1 -3 -3 2 -1 3 -2",192,1,128
1405,"1 2 3 2 3 -1 -1 -2 1 -3 -3 -2",192,1,0
1406,"1 2 3 2 -1 -1 -3 1 -3 -2 3 -2",192,1,-128
1407,"1 2 3 2 -3 -3 -1 -1 3 -2 -2 1",192,1,-512
1408,"1 2 3 -1 3 -1 -2 1 -2 -3 -3 2",192,1,-128
1409,"1 2 3 1 3 2 -1 -3 -2 -3 -1 -2",96,1,-128
1410,"1 2 3 -1 -1 3 -2 -2 -3 -3 1 2",192,1,-256
1411,"1 2 3 1 -3 -1 3 -2 -3 2 -1 -2",96,1,-128
1412,"1 2 3 1 2 -1 -2 -3 -1 3 -2 -3",192,1,-128
1413,"1 2 3 1 2 -1 3 -2 -1 -3 -2 -3",192,1,0
1414,"1 2 3 -1 -1 -2 -2 3 2 -3 1 -3",192,1,256
1415,"1 2 3 -1 -2 1 2 -3 -2 3 -1 -3",96,1,-128
1416,"1 2 3 -1 -1 -3 2 3 -2 -2 1 -3",192,1,256
1417,"1 2 3 -1 -1 -3 -2 -3 1 2 3 -2",192,1,128
1418,"1 2 3 1 -2 -1 -1 2 3 -2 -3 -3",192,1,256
1419,"1 2 3 1 3 2 -3 -1 -1 -2 -3 -2",192,1,-128
1420,"1 2 3 2 -3 1 3 -2 -3 -1 -1 -2",192,1,128
1421,"1 2 3 -1 -1 -2 3 2 -3 -3 -2 1",192,1,256
1422,"1 2 3 -1 -1 2 3 1 -2 -3 -2 -3",96,1,128
1423,"1 2 3 1 -2 3 2 -3 -1 -3 -1 -2",96,1,-128
1424,"1 2 3 -1 -1 2 1 -3 -3 -2 3 -2",192,1,0
1425,"1 2 3 -1 -3 -1 3 2 -3 -2 1 -2",192,1,0
1426,"1 2 3 1 -3 -1 3 2 -3 -2 -1 -2",192,1,0
1427,"1 2 3 -1 3 -2 -3 1 -3 2 -1 -2",96,1,128
1428,"1 2 3 1 3 2 -1 -3 -3 -2 -1 -2",192,1,-128
1429,"1 2 3 1 2 -1 3 -2 -1 -2 -3 -3",192,1,-128
1430,"1 2 3 2 -1 -1 3 1 -3 -3 -2 -2",192,1,256
1431,"1 2 3 -1 -1 3 -2 -3 2 -3 -2 1",192,1,0
1432,"1 2 3 1 2 -1 -3 -3 -1 -2 -2 3",192,1,-256
1433,"1 2 3 -1 3 -1 -3 -3 2 1 -2 -2",192,1,0
1434,"1 2 3 1 3 -1 -2 -3 2 -3 -1 -2",192,1,0
1435,"1 2 3 1 3 -2 -3 2 -1 -3 -1 -2",96,1,128
1436,"1 2 3 2 -3 -1 -1 3 -2 -2 -3 1",192,1,-256
1437,"1 2 3 2 3 -1 -3 -1 -3 1 -2 -2",192,1,-128
1438,"1 2 3 1 -2 -3 -2 -3 -1 3 -1 2",192,1,-128
1439,"1 2 3 2 3 1 -3 -3 -1 -1 -2 -2",96,1,256
1440,"1 2 3 1 -2 -1 -3 2 -3 -1 3 -2",192,1,128
1441,"1 2 3 -1 -1 2 -3 -2 3 -2 1 -3",192,1,-128
1442,"1 2 3 1 -2 3 2 -3 -3 -1 -1 -2",96,1,-256
1443,"1 2 3 -1 -1 -3 -3 -2 3 2 1 -2",192,1,0
1444,"1 2 3 1 -3 -1 3 2 -3 -1 -2 -2",192,1,128
1445,"1 2 3 1 3 -1 -3 -1 -2 -2 -3 2",192,1,-128
1446,"1 2 3 -1 3 -2 -3 -3 1 2 -1 -2",192,1,128
1447,"1 2 3 1 3 2 -3 -3 -2 -1 -1 -2",192,1,0
1448,"1 2 3 -1 -3 -3 1 3 2 -1 -2 -2",48,1,256
1449,"1 2 3 1 3 -2 -3 2 -3 -1 -1 -2",192,1,128
1450,"1 2 3 -1 -1 -3 -2 -3 2 3 1 -2",192,1,128
1451,"1 2 3 1 -2 -2 -3 -3 -1 3 -1 2",192,1,-256
1452,"1 2 3 1 3 2 -1 -1 -3 -3 -2 -2",192,1,-256
1453,"1 2 3 1 -2 -1 2 -3 -3 -1 3 -2",192,1,128
1454,"1 2 3 1 3 2 -1 -3 -3 -1 -2 -2",192,1,-256
1455,"1 2 3 -1 -1 3 2 -3 -2 -2 1 -3",192,1,0
1456,"1 2 3 1 -2 -1 3 2 -3 -1 -3 -2",192,1,-128
1457,"1 2 3 1 2 -1 -2 -3 -2 -3 -1 3",96,1,0
1458,"1 2 3 1 -2 -1 -3 2 -1 3 -2 -3",96,1,128
1459,"1 2 3 -2 -1 -1 -3 2 3 -2 -3 1",96,1,256
1460,"1 2 3 -1 -1 3 -2 -3 -2 -3 1 2",192,1,-128
1461,"1 2 3 -1 -1 -3 -3 -2 -2 3 1 2",96,1,-256
1462,"1 2 3 1 2 -1 -2 -3 -3 -2 -1 3",192,1,-128
1463,"1 2 3 1 -3 2 -1 -1 -3 -2 3 -2",192,1,128
1464,"1 2 3 -1 -3 -2 1 2 3 -1 -3 -2",48,2,128
1465,"1 2 3 2 -3 -3 -1 3 1 -2 -1 -2",192,1,-128
1466,"1 2 3 1 3 2 -3 -2 -1 -3 -1 -2",96,1,0
1467,"1 2 3 1 2 -1 3 -2 -2 -1 -3 -3",192,1,0
1468,"1 2 3 2 3 -2 -2 -1 -1 -3 -3 1",192,1,-512
1469,"1 2 3 1 -2 -3 -1 2 3 -1 -2 -3",48,1,128
1470,"1 2 3 2 3 -1 -1 -3 -2 -3 -2 1",48,1,-256
1471,"1 2 3 1 -2 -1 3 2 -3 -3 -1 -2",192,1,-128
1472,"1 2 3 1 -2 -3 -1 2 3 -1 -3 -2",96,1,128
1473,"1 2 3 1 2 -1 -2 -2 -3 -3 -1 3",96,1,0
1474,"1 2 3 -1 -2 1 -3 2 -1 3 -2 -3",48,1,128
1475,"1 2 3 1 2 -1 -3 -1 -3 -2 -2 3",192,1,-128
1476,"1 2 3 -1 -2 1 -3 -1 3 2 -3 -2",96,1,-128
1477,"1 2 3 -1 -1 3 -2 1 -2 -3 -3 2",96,1,-256
1478,"1 2 3 1 3 2 -3 -2 -3 -1 -1 -2",192,1,-128
1479,"1 2 3 2 -3 -1 3 -2 -2 -1 -3 1",192,1,0
1480,"1 2 3 1 -2 -1 -3 -2 -3 -1 3 2",192,1,0
1481,"1 2 3 -1 -1 -3 1 2 3 -2 -2 -3",96,1,256
1482,"1 2 3 -2 3 -2 -3 2 -1 -1 -3 1",192,1,0
1483,"1 2 3 1 -2 3 -2 -3 -1 -3 -1 2",96,1,-128
1484,"1 2 3 1 -2 -1 2 3 -1 -2 -3 -3",192,1,128
1485,"1 2 3 -2 -1 -1 -3 -2 3 2 -3 1",96,1,256
1486,"1 2 3 1 -2 -2 3 -1 -3 -3 -1 2",192,1,0
1487,"1 2 3 1 -3 2 -1 -2 -3 -1 3 -2",48,1,-128
1488,"1 2 3 2 3 -2 -3 1 -3 -1 -1 -2",192,1,128
1489,"1 2 3 -2 -2 -1 -1 3 2 -3 -3 1",96,1,0
1490,"1 2 3 1 3 -1 -2 -1 2 -3 -3 -2",192,1,-128
1491,"1 2 3 2 -3 -1 -1 -2 3 -2 -3 1",96,1,0
1492,"1 2 3 1 -2 -1 -2 -3 -3 -1 3 2",192,1,-128
1493,"1 2 3 -1 3 1 -2 -2 -1 -3 -3 2",192,1,-256
1494,"1 2 3 1 -2 3 -2 -3 -3 -1 -1 2",96,1,-256
1495,"1 2 3 -1 -2 -1 2 3 1 -3 -2 -3",192,1,128
1496,"1 2 3 1 2 -1 -3 -1 -2 3 -2 -3",192,1,0
1497,"1 2 3 -1 -1 -3 -2 3 2 -3 -2 1",96,1,256
1498,"1 2 3 -1 -3 -1 -3 1 2 3 -2 -2",96,1,128
1499,"1 2 3 2 -3 -1 3 -1 -3 1 -2 -2",192,1,128
1500,"1 2 3 -1 -1 2 1 -2 3 -2 -3 -3",192,1,256
1501,"1 2 3 -1 3 -1 -3 2 1 -2 -3 -2",192,1,0
1502,"1 2 3 -1 -2 1 -3 -3 -2 3 -1 2",192,1,128
1503,"1 2 3 -1 -1 3 1 -3 -2 -2 -3 2",192,1,0
1504,"1 2 3 1 2 -3 -1 -2 3 -1 -2 -3",48,1,128
1505,"1 2 3 1 -2 3 -1 2 -1 -3 -2 -3",96,1,-128
1506,"1 2 3 1 2 -1 -1 -3 -2 3 -2 -3",192,1,128
1507,"1 2 3 1 3 -2 -2 -1 -1 -3 -3 2",96,1,-256
1508,"1 2 3 1 -2 -3 -1 -3 2 3 -1 -2",192,1,0
1509,"1 2 3 -1 -1 2 3 -2 -3 -2 -3 1",192,1,0
1510,"1 2 3 -2 3 2 -3 -2 -1 -1 -3 1",192,1,256
1511,"1 2 3 1 3 -1 2 -1 -2 -3 -3 -2",192,1,-128
1512,"1 2 3 1 -2 -1 -3 -3 -1 -2 3 2",192,1,128
1513,"1 2 3 1 -2 -3 -3 2 3 -1 -1 -2",192,1,0
1514,"1 2 3 1 2 -1 -1 3 -2 -2 -3 -3",192,1,-256
1515,"1 2 3 -1 -1 -3 -3 2 1 -2 3 -2",192,1,0
1516,"1 2 3 -1 -3 2 -3 -1 3 1 -2 -2",192,1,128
1517,"1 2 3 2 3 -1 -1 -3 -3 -2 1 -2",192,1,-256
1518,"1 2 3 2 3 -2 -2 -3 -1 -1 -3 1",192,1,-256
1519,"1 2 3 -1 -3 2 1 -2 -3 -1 3 -2",24,1,-128
1520,"1 2 3 2 -3 -1 -1 -2 -3 -2 3 1",96,1,-256
1521,"1 2 3 1 -2 -1 -2 -3 -1 3 2 -3",192,1,-128
1522,"1 2 3 1 -2 -2 -3 -1 3 -1 2 -3",192,1,-128
1523,"1 2 3 -1 -1 3 1 2 -3 -3 -2 -2",192,1,256
1524,"1 2 3 -1 -1 -3 2 3 1 -3 -2 -2",192,1,0
1525,"1 2 3 1 -2 -1 2 3 -1 -3 -2 -3",192,1,0
1526,"1 2 3 -1 -2 -1 -3 2 3 -2 1 -3",96,1,128
1527,"1 2 3 1 -2 -1 -3 -3 2 3 -1 -2",192,1,128
1528,"1 2 3 1 -3 2 3 -2 -1 -1 -3 -2",192,1,-128
1529,"1 2 3 1 -3 2 -1 -1 3 -2 -3 -2",192,1,-128
1530,"1 2 3 1 -2 -2 -3 -1 -1 3 2 -3",192,1,-256
1531,"1 2 3 1 -2 3 -1 -2 -3 -1 2 -3",16,1,-128
1532,"1 2 3 -1 3 -1 -2 -2 1 -3 -3 2",192,1,-256
1533,"1 2 3 1 -2 -3 -3 2 -1 -1 3 -2",192,1,0
1534,"1 2 3 1 -2 -2 -1 -3 -1 3 2 -3",192,1,-128
1535,"1 2 3 1 -2 -1 2 3 -1 -3 -3 -2",192,1,128
1536,"1 2 3 -1 -1 2 -3 1 -3 -2 3 -2",192,1,-128
1537,"1 2 3 -1 -1 -2 -3 2 3 -2 1 -3",192,1,128
1538,"1 2 3 1 3 -2 -3 -3 2 -1 -1 -2",192,1,256
1539,"1 2 3 -1 -1 2 1 3 -2 -3 -2 -3",192,1,128
1540,"1 2 3 1 -2 -1 3 -1 2 -3 -2 -3",192,1,-128
1541,"1 2 3 1 -2 -3 -2 -1 3 -1 -3 2",192,1,-128
1542,"1 2 3 -1 -1 -2 -3 -3 -2 3 1 2",192,1,0
1543,"1 2 3 1 2 -1 -2 -3 -3 -1 -2 3",192,1,-128
1544,"1 2 3 1 -2 -1 -2 3 -1 -3 2 -3",192,1,-128
1545,"1 2 3 1 3 -1 -2 -3 -3 -2 -1 2",192,1,128
1546,"1 2 3 2 3 -1 -1 -2 -2 -3 -3 1",96,1,-512
1547,"1 2 3 -1 -1 3 -2 -2 1 -3 -3 2",192,1,-256
1548,"1 2 3 -1 3 1 -2 -1 -3 2 -3 -2",96,1,0
1549,"1 2 3 -1 -1 2 -3 -3 -2 3 -2 1",192,1,-256
1550,"1 2 3 1 2 -1 -2 -2 3 -1 -3 -3",192,1,256
1551,"1 2 3 1 -2 -1 3 -2 -3 2 -1 -3",96,1,128
1552,"1 2 3 1 -2 3 2 -1 -3 -3 -1 -2",192,1,-128
1553,"1 2 3 2 3 -1 -3 1 -3 -1 -2 -2",192,1,-128
1554,"1 2 3 -2 -3 -2 3 2 -1 -1 -3 1",96,1,0
1555,"1 2 3 1 -2 -1 -1 3 2 -3 -2 -3",192,1,-128
1556,"1 2 3 -1 3 1 -2 -2 -3 -1 -3 2",192,1,-128
1557,"1 2 3 -1 -2 -1 -2 3 1 -3 -3 2",192,1,-128
1558,"1 2 3 2 -3 -1 -1 -3 -2 3 -2 1",96,1,0
1559,"1 2 3 1 2 3 -1 -2 -1 -3 -2 -3",96,1,0
1560,"1 2 3 1 -2 -2 -1 3 -1 -3 2 -3",192,1,-128
1561,"1 2 3 1 -2 -1 -3 -1 -3 -2 3 2",192,1,128
1562,"1 2 3 -1 3 1 -2 -1 2 -3 -3 -2",192,1,-128
1563,"1 2 3 1 2 -1 -2 -3 -1 -3 -2 3",192,1,-128
1564,"1 2 3 -1 -1 -3 -2 -2 3 2 1 -3",192,1,0
1565,"1 2 3 1 2 3 -1 -1 -2 -3 -2 -3",192,1,-128
1566,"1 2 3 1 -2 -3 -3 -1 3 -2 -1 2",192,1,-128
1567,"1 2 3 1 2 -1 -3 -2 -1 -3 -2 3",96,1,0
1568,"1 2 3 1 -2 -1 -1 -3 -3 -2 3 2",192,1,256
1569,"1 2 3 -1 -1 -3 -2 3 -2 -3 1 2",192,1,-128
1570,"1 2 3 1 -2 -3 -1 3 2 -1 -2 -3",96,1,0
1571,"1 2 3 -1 -2 1 -3 2 3 -1 -3 -2",96,1,128
1572,"1 2 3 1 3 -1 -3 2 -3 -2 -1 -2",192,1,-128
1573,"1 2 3 2 -3 1 -3 -1 -1 3 -2 -2",192,1,-256
1574,"1 2 3 3 -1 -3 -3 -2 -2 -1 2 1",192,1,512
1575,"1 2 3 -1 -1 3 -2 -3 -3 -2 1 2",192,1,0
1576,"1 2 3 1 2 -1 -1 3 -2 -3 -3 -2",192,1,-256
1577,"1 2 3 2 -3 -3 1 3 -1 -1 -2 -2",192,1,256
1578,"1 2 3 1 -2 -3 -3 -2 3 -1 -1 2",192,1,0
1579,"1 2 3 1 -2 -3 -1 -3 -1 -2 3 2",192,1,0
1580,"1 2 3 -1 -1 2 1 3 -2 -3 -3 -2",192,1,256
1581,"1 2 3 1 -3 2 -1 -2 3 -1 -3 -2",96,1,128
1582,"1 2 3 1 -3 -3 -1 -1 2 3 -2 -2",192,1,-256
1583,"1 2 3 1 2 -1 -2 -1 -3 -3 -2 3",192,1,-128
1584,"1 2 3 -1 3 -1 -2 1 2 -3 -3 -2",192,1,128
1585,"1 2 3 1 -2 -1 -2 3 -1 -3 -3 2",192,1,-128
1586,"1 2 3 -1 -1 -2 3 2 -3 -2 -3 1",192,1,256
1587,"1 2 3 -1 -1 -2 -3 1 2 3 -2 -3",96,1,128
1588,"1 2 3 -2 -3 2 3 -2 -1 -1 -3 1",96,1,256
1589,"1 2 3 1 3 -1 -2 -2 -3 -1 -3 2",192,1,-128
1590,"1 2 3 -1 3 1 2 -1 -2 -3 -3 -2",192,1,-128
1591,"1 2 3 1 3 2 -3 -1 -1 -3 -2 -2",192,1,0
1592,"1 2 3 1 -3 -2 -1 3 -1 2 -3 -2",192,1,0
1593,"1 2 3 1 -2 -2 3 -1 -1 -3 -3 2",192,1,-256
1594,"1 2 3 1 3 2 -3 -1 -3 -1 -2 -2",192,1,-128
1595,"1 2 3 2 -3 1 -3 -1 3 -1 -2 -2",192,1,-128
1596,"1 2 3 1 2 -1 3 -1 -3 -2 -3 -2",192,1,0
1597,"1 2 3 -1 3 1 -3 2 -1 -2 -3 -2",192,1,0
1598,"1 2 3 1 -2 -3 -3 -1 -1 -2 3 2",192,1,0
1599,"1 2 3 -1 -3 -1 2 1 -3 -2 3 -2",96,1,0
1600,"1 2 3 -2 -2 3 2 -3 -1 -1 -3 1",192,1,256
1601,"1 2 3 -1 -1 -3 2 -3 1 3 -2 -2",192,1,0
1602,"1 2 3 -1 3 1 -3 -2 -3 -2 -1 2",96,1,-128
1603,"1 2 3 1 -3 -2 -1 -1 3 2 -3 -2",192,1,-128
1604,"1 2 3 -1 3 -1 -3 -2 1 2 -3 -2",192,1,0
1605,"1 2 3 1 -2 -1 3 -1 2 -3 -3 -2",192,1,-128
1606,"1 2 3 1 -3 -1 3 -1 2 -3 -2 -2",192,1,128
1607,"1 2 3 -1 -1 -2 -2 3 2 1 -3 -3",192,1,256
1608,"1 2 3 -1 -1 3 1 2 -3 -2 -3 -2",192,1,128
1609,"1 2 3 -1 -1 -3 -3 1 2 3 -2 -2",96,1,256
1610,"1 2 3 2 -1 -1 3 -2 -2 -3 -3 1",192,1,-512
1611,"1 2 3 1 2 -1 -1 -3 -3 -2 3 -2",192,1,0
1612,"1 2 3 -2 -2 -1 -1 -3 -3 2 3 1",96,1,0
1613,"1 2 3 -1 -3 2 -3 1 3 -1 -2 -2",192,1,128
1614,"1 2 3 2 -3 -3 -1 -2 -2 -1 3 1",192,1,-256
1615,"1 2 3 1 -2 -1 -3 -3 -2 -1 3 2",192,1,128
1616,"1 2 3 -1 3 -1 2 1 -2 -3 -3 -2",192,1,128
1617,"1 2 3 -1 3 1 -3 -2 -3 2 -1 -2",192,1,0
1618,"1 2 3 1 -2 -1 -2 3 2 -1 -3 -3",192,1,-128
1619,"1 2 3 -1 -1 2 -3 1 3 -2 -3 -2",192,1,128
1620,"1 2 3 -1 3 -1 -3 1 -2 -2 -3 2",192,1,128
1621,"1 2 3 -1 3 -2 1 2 -3 -1 -3 -2",48,1,128
1622,"1 2 3 -1 3 1 -3 -3 -2 -2 -1 2",96,1,-256
1623,"1 2 3 1 2 -1 3 -1 -2 -3 -2 -3",192,1,0
1624,"1 2 3 -1 -1 -2 -3 1 3 -2 -3 2",192,1,128
1625,"1 2 3 1 -2 -1 -3 -3 -1 2 3 -2",192,1,128
1626,"1 2 3 -1 -1 -3 -3 -2 1 2 3 -2",192,1,0
1627,"1 2 3 1 -2 -2 -1 3 -1 2 -3 -3",192,1,-256
1628,"1 2 3 -1 -1 -2 3 -2 -3 -3 1 2",192,1,-256
1629,"1 2 3 2 -3 -1 3 1 -3 -1 -2 -2",192,1,128
1630,"1 2 3 2 -3 -2 -2 -1 3 -1 -3 1",96,1,256
1631,"1 2 3 1 -2 -1 -3 2 3 -1 -2 -3",192,1,128
1632,"1 2 3 1 -2 -1 -3 2 3 -1 -3 -2",192,1,128
1633,"1 2 3 -1 3 -2 1 2 -1 -3 -3 -2",192,1,128
1634,"1 2 3 1 -2 -3 -1 3 2 -3 -1 -2",192,1,0
1635,"1 2 3 1 2 -1 3 -1 -2 -2 -3 -3",192,1,0
1636,"1 2 3 -1 -1 -2 3 -2 -3 -3 2 1",192,1,-256
1637,"1 2 3 1 3 -2 -3 -1 -1 -2 -3 2",96,1,-128
1638,"1 2 3 1 3 -1 -3 -2 -3 -2 -1 2",96,1,128
1639,"1 2 3 1 -3 -3 -1 3 2 -1 -2 -2",48,1,256
1640,"1 2 3 -1 -1 3 2 1 -3 -2 -2 -3",48,1,256
1641,"1 2 3 -1 -2 1 3 -1 -3 2 -3 -2",192,1,0
1642,"1 2 3 2 -3 -1 -1 -3 -2 -2 3 1",192,1,-256
1643,"1 2 3 1 -2 -1 3 -1 -2 -3 2 -3",192,1,0
1644,"1 2 3 1 3 -1 -3 -2 -2 -1 -3 2",192,1,128
